gen,arch,wr,mutation
1,水_スターミー_グッズ偏重_V3,0.6212,unchanged
1,炎_リザードンX_グッズ偏重_V3,0.6654,Out: レッド / In: ヒノヤコマ (Parent: 34/50 -> Mutant: 38/50)
1,闘_ガブルカ_究極_V6_アルティメット,0.4827,unchanged
1,超_ミュウツー_究極_V6_アルティメット,0.5846,unchanged
1,草_フシギバナ_安定_V1,0.6769,Out: エリカ / In: フレイムパッチ (Parent: 33/50 -> Mutant: 39/50)
1,鋼_メルルギア_安定_V1,0.4558,unchanged
1,超_ゲンガー_安定_V1,0.1750,Out: ふたの化石 / In: マシェード (Parent: 8/50 -> Mutant: 10/50)
1,雷_ピカチュウ_安定_V1,0.8154,unchanged
1,龍悪_ギラダク_グッズ偏重_V3,0.8712,unchanged
1,草_フシギバナ_究極_V6_アルティメット,0.4038,unchanged
1,炎_リザードンX_究極_V6_アルティメット,0.4135,unchanged
1,超_ミュウツー_安定_V1,0.8096,unchanged
1,水_スターミー_究極_V6_アルティメット,0.4654,Out: カスミ / In: たべのこし (Parent: 25/50 -> Mutant: 34/50)
1,超_ゲンガー_究極_V6_アルティメット,0.5442,Out: グズマ / In: テーブルシティ (Parent: 29/50 -> Mutant: 32/50)
1,鋼_メルルギア_究極_V6_アルティメット,0.4673,Out: トレーニングエリア / In: アルセウスex (Parent: 27/50 -> Mutant: 32/50)
1,超_ゲンガー_グッズ偏重_V3,0.1192,unchanged
1,鋼_メルルギア_グッズ偏重_V3,0.4769,unchanged
1,龍悪_ギラダク_安定_V1,0.5154,Out: アブソル / In: ドラピオン (Parent: 30/50 -> Mutant: 33/50)
1,雷_ピカチュウ_究極_V6_アルティメット,0.5154,Out: かけだし調査員 / In: ピカチュウ (Parent: 33/50 -> Mutant: 37/50)
1,闘_ガブルカ_グッズ偏重_V3,0.3385,Out: マーマネ / In: ナマズン (Parent: 19/50 -> Mutant: 29/50)
1,龍悪_ギラダク_究極_V6_アルティメット,0.5731,Out: グリーン / In: ドラピオン (Parent: 38/50 -> Mutant: 40/50)
1,草_フシギバナ_グッズ偏重_V3,0.5173,unchanged
1,闘_ガブルカ_安定_V1,0.3212,unchanged
1,超_ミュウツー_グッズ偏重_V3,0.3231,unchanged
1,水_スターミー_安定_V1,0.4846,unchanged
1,炎_リザードンX_安定_V1,0.4288,unchanged
1,雷_ピカチュウ_グッズ偏重_V3,0.4346,unchanged
2,超_ミュウツー_安定_V1,0.8337,unchanged
2,闘_ガブルカ_グッズ偏重_V3,0.3981,unchanged
2,超_ゲンガー_グッズ偏重_V3,0.1538,Out: ルナアーラex / In: キュワワー (Parent: 11/50 -> Mutant: 13/50)
2,炎_リザードンX_安定_V1,0.5548,unchanged
2,炎_リザードンX_グッズ偏重_V3,0.6606,unchanged
2,雷_ピカチュウ_安定_V1,0.8260,unchanged
2,超_ミュウツー_究極_V6_アルティメット,0.5952,Out: サーナイト / In: ポケモン通信 (Parent: 27/50 -> Mutant: 29/50)
2,炎_リザードンX_究極_V6_アルティメット,0.4327,unchanged
2,龍悪_ギラダク_グッズ偏重_V3,0.8673,unchanged
2,鋼_メルルギア_グッズ偏重_V3,0.5048,Out: テーブルシティ / In: オタチ (Parent: 28/50 -> Mutant: 37/50)
2,水_スターミー_安定_V1,0.5577,unchanged
2,水_スターミー_究極_V6_アルティメット,0.4606,Out: スターミーex / In: スワンナ (Parent: 26/50 -> Mutant: 28/50)
2,龍悪_ギラダク_安定_V1,0.5212,unchanged
2,雷_ピカチュウ_グッズ偏重_V3,0.5087,unchanged
2,草_フシギバナ_安定_V1,0.6481,Out: エレメンタルつけかえ / In: ワタッコ (Parent: 34/50 -> Mutant: 39/50)
2,龍悪_ギラダク_究極_V6_アルティメット,0.5913,unchanged
2,草_フシギバナ_究極_V6_アルティメット,0.3577,unchanged
2,闘_ガブルカ_究極_V6_アルティメット,0.4135,unchanged
2,超_ゲンガー_究極_V6_アルティメット,0.5202,unchanged
2,鋼_メルルギア_究極_V6_アルティメット,0.4760,unchanged
2,鋼_メルルギア_安定_V1,0.3913,unchanged
2,草_フシギバナ_グッズ偏重_V3,0.5288,unchanged
2,闘_ガブルカ_安定_V1,0.3173,Out: ハリテヤマ / In: ラムパルド (Parent: 30/50 -> Mutant: 32/50)
2,水_スターミー_グッズ偏重_V3,0.4913,unchanged
2,雷_ピカチュウ_究極_V6_アルティメット,0.4404,unchanged
2,超_ミュウツー_グッズ偏重_V3,0.3212,unchanged
2,超_ゲンガー_安定_V1,0.1279,unchanged
3,闘_ガブルカ_究極_V6_アルティメット,0.4513,Out: イワパレス / In: いじわるレター (Parent: 19/50 -> Mutant: 27/50)
3,超_ゲンガー_安定_V1,0.1455,unchanged
3,草_フシギバナ_グッズ偏重_V3,0.5718,unchanged
3,鋼_メルルギア_究極_V6_アルティメット,0.5353,unchanged
3,草_フシギバナ_究極_V6_アルティメット,0.3821,unchanged
3,闘_ガブルカ_グッズ偏重_V3,0.4115,Out: ナツメ / In: カンナギタウンの長老 (Parent: 24/50 -> Mutant: 28/50)
3,龍悪_ギラダク_安定_V1,0.5615,unchanged
3,龍悪_ギラダク_究極_V6_アルティメット,0.6353,unchanged
3,草_フシギバナ_安定_V1,0.6372,unchanged
3,水_スターミー_安定_V1,0.5891,unchanged
3,超_ミュウツー_安定_V1,0.8179,unchanged
3,鋼_メルルギア_安定_V1,0.3929,Out: ギルガルド / In: ハンサム (Parent: 17/50 -> Mutant: 25/50)
3,炎_リザードンX_究極_V6_アルティメット,0.4282,unchanged
3,炎_リザードンX_グッズ偏重_V3,0.6378,Out: リザードンex / In: ダルマッカ (Parent: 26/50 -> Mutant: 34/50)
3,超_ミュウツー_グッズ偏重_V3,0.3705,unchanged
3,水_スターミー_グッズ偏重_V3,0.4782,unchanged
3,超_ゲンガー_グッズ偏重_V3,0.1545,unchanged
3,雷_ピカチュウ_安定_V1,0.7827,Out: おおきいマラサダ / In: ビリリダマ (Parent: 41/50 -> Mutant: 45/50)
3,雷_ピカチュウ_グッズ偏重_V3,0.5192,Out: ゼブライカ / In: パルスワン (Parent: 30/50 -> Mutant: 32/50)
3,鋼_メルルギア_グッズ偏重_V3,0.4712,Out: メルメタルex / In: ヒメグマ (Parent: 22/50 -> Mutant: 33/50)
3,炎_リザードンX_安定_V1,0.5410,unchanged
3,雷_ピカチュウ_究極_V6_アルティメット,0.4250,Out: ハウ / In: ハイキングコース (Parent: 29/50 -> Mutant: 34/50)
3,水_スターミー_究極_V6_アルティメット,0.4244,unchanged
3,超_ミュウツー_究極_V6_アルティメット,0.5237,Out: ナツメ / In: たての化石 (Parent: 35/50 -> Mutant: 37/50)
3,闘_ガブルカ_安定_V1,0.3160,Out: ラムパルド / In: シロナ (Parent: 27/50 -> Mutant: 31/50)
3,龍悪_ギラダク_グッズ偏重_V3,0.8109,Out: 旅の行商人 / In: ベトベトン (Parent: 47/50 -> Mutant: 49/50)
3,超_ゲンガー_究極_V6_アルティメット,0.4853,unchanged
4,草_フシギバナ_安定_V1,0.6663,unchanged
4,闘_ガブルカ_グッズ偏重_V3,0.4221,unchanged
4,炎_リザードンX_安定_V1,0.5803,unchanged
4,雷_ピカチュウ_安定_V1,0.7663,unchanged
4,水_スターミー_グッズ偏重_V3,0.5082,Out: たべのこし / In: ホエルコ (Parent: 27/50 -> Mutant: 29/50)
4,鋼_メルルギア_安定_V1,0.4053,unchanged
4,龍悪_ギラダク_グッズ偏重_V3,0.8317,unchanged
4,鋼_メルルギア_グッズ偏重_V3,0.4793,Out: エレキコード / In: ワシボン (Parent: 26/50 -> Mutant: 29/50)
4,超_ゲンガー_究極_V6_アルティメット,0.5062,unchanged
4,闘_ガブルカ_究極_V6_アルティメット,0.4409,unchanged
4,超_ミュウツー_安定_V1,0.8159,unchanged
4,超_ミュウツー_究極_V6_アルティメット,0.5168,unchanged
4,水_スターミー_究極_V6_アルティメット,0.4361,Out: ハスボー / In: イーブイのバッグ (Parent: 34/50 -> Mutant: 36/50)
4,水_スターミー_安定_V1,0.5875,unchanged
4,雷_ピカチュウ_究極_V6_アルティメット,0.4471,unchanged
4,鋼_メルルギア_究極_V6_アルティメット,0.5308,unchanged
4,超_ゲンガー_グッズ偏重_V3,0.1611,unchanged
4,龍悪_ギラダク_安定_V1,0.5413,unchanged
4,闘_ガブルカ_安定_V1,0.3337,unchanged
4,超_ゲンガー_安定_V1,0.1351,unchanged
4,超_ミュウツー_グッズ偏重_V3,0.3678,Out: ナツメ / In: セキ (Parent: 33/50 -> Mutant: 35/50)
4,草_フシギバナ_グッズ偏重_V3,0.5663,unchanged
4,龍悪_ギラダク_究極_V6_アルティメット,0.6062,Out: ふしぎなアメ / In: ジジーロン (Parent: 38/50 -> Mutant: 40/50)
4,炎_リザードンX_グッズ偏重_V3,0.5880,unchanged
4,炎_リザードンX_究極_V6_アルティメット,0.3986,unchanged
4,雷_ピカチュウ_グッズ偏重_V3,0.5101,unchanged
4,草_フシギバナ_究極_V6_アルティメット,0.3510,unchanged
5,炎_リザードンX_安定_V1,0.6054,Out: バオップ / In: ヒヒダルマ (Parent: 40/50 -> Mutant: 43/50)
5,超_ミュウツー_究極_V6_アルティメット,0.5412,unchanged
5,超_ゲンガー_安定_V1,0.1404,unchanged
5,雷_ピカチュウ_安定_V1,0.7681,Out: 博士の研究 / In: ピカチュウex (Parent: 36/50 -> Mutant: 40/50)
5,草_フシギバナ_安定_V1,0.6777,unchanged
5,超_ゲンガー_究極_V6_アルティメット,0.5269,unchanged
5,龍悪_ギラダク_グッズ偏重_V3,0.8369,unchanged
5,草_フシギバナ_グッズ偏重_V3,0.5758,Out: ハイキングコース / In: マスカーニャex (Parent: 37/50 -> Mutant: 39/50)
5,炎_リザードンX_究極_V6_アルティメット,0.4042,unchanged
5,雷_ピカチュウ_グッズ偏重_V3,0.5388,unchanged
5,鋼_メルルギア_グッズ偏重_V3,0.4731,unchanged
