gen,arch,wr,mutation
1,超_ミュウツ_サナ_V2_安定_サブ1ピン刺し,0.8000,Out: ふしぎなアメ / In: ヒカリ (WR: 72.35% -> 80.00%)
1,雷_ピカライ_進化_V6_純正_サブ0枚,0.0000,unchanged
1,鋼_ディアルガ_ロマン_V1_安定_サブ2枚,0.6000,Out: ディアルガex / In: アシレーヌ (WR: 59.69% -> 60.00%)
1,炎_ホウオウ_循環_V6_純正_サブ0枚,0.5400,Out: かけだし調査員 / In: ジュン (WR: 52.76% -> 54.00%)
1,炎_メガリザX_高火力_V4_グッズ偏重_ピンサブ,0.0000,unchanged
1,炎_メガバシャ_再利用_V1_安定_サブ2枚,0.0000,unchanged
1,草_フシギバ_どく_V3_グッズ偏重_サブ2,0.9400,Out: ミュウex / In: ハヤシガメ (WR: 93.57% -> 94.00%)
1,水_フリスイ_後攻_V3_グッズ偏重_サブ2,0.7800,Out: ふしぎな広場 / In: シトロン (WR: 77.14% -> 78.00%)
1,水_スイゲツ_ドロー_V3_グッズ偏重_サブ2,0.9200,Out: 博士の研究 / In: むしよけスプレー (WR: 79.90% -> 92.00%)
1,鋼_メガハガ_耐久_V6_純正_サブ0枚,0.0000,unchanged
1,闘_ルカガブ_2ex_V1_安定_サブ2枚,0.0000,unchanged
1,鋼_メガハガ_耐久_V3_グッズ偏重_サブ2,0.0000,unchanged
1,炎_ホウオウ_循環_V4_グッズ偏重_ピンサブ,0.0000,unchanged
1,炎_ホウオウ_循環_V1_安定_サブ2枚,0.8400,Out: エンテイex / In: ホゲータ (WR: 64.90% -> 84.00%)
1,無色_メガピジョ_速攻_V6_純正_サブ0枚,0.7200,Out: ポケモンの笛 / In: パフュートン (WR: 58.98% -> 72.00%)
1,闘_ドンフ_耐久_V6_純正_サブ0枚,0.7200,Out: ゴーリキー / In: ルチャブル (WR: 55.00% -> 72.00%)
1,闘_マッシ_詰め_V2_安定_サブ1ピン刺し,0.6600,Out: シロデスナ / In: フカマル (WR: 50.51% -> 66.00%)
1,鋼_ディアルガ_ロマン_V6_純正_サブ0枚,0.0000,unchanged
1,超_メガゲン_全体_V1_安定_サブ2枚,0.6800,Out: ミュウツーex / In: アゴの化石 (WR: 56.73% -> 68.00%)
1,無色_ルギア_加速_V6_純正_サブ0枚,0.7800,Out: おおきいマラサダ / In: チラーミィ (WR: 60.92% -> 78.00%)
1,水_スイゲツ_ドロー_V6_純正_サブ0枚,0.8400,Out: フィオネ / In: ウデッポウ (WR: 52.04% -> 84.00%)
1,悪_サザンアブ_狙撃_V2_安定_サブ1ピン刺し,0.6200,Out: アローラニャース / In: ミカン (WR: 58.78% -> 62.00%)
1,草_エルフ_加速_V1_安定_サブ2枚,0.6600,Out: ミノマダム / In: ミツハニー (WR: 55.20% -> 66.00%)
1,闘_マッシ_詰め_V6_純正_サブ0枚,0.7600,Out: アカギ / In: ガケガニ (WR: 52.55% -> 76.00%)
1,闘_ルカ_安定_V4_グッズ偏重_ピンサブ,0.2800,Out: カスミ / In: ルチャブル (WR: 15.10% -> 28.00%)
1,闘_マッシ_詰め_V4_グッズ偏重_ピンサブ,0.5400,Out: グリーン / In: キテルグマ (WR: 43.37% -> 54.00%)
1,超_ネクロ_高火力_V4_グッズ偏重_ピンサブ,0.5200,Out: モンスターボール / In: ムウマ (WR: 36.33% -> 52.00%)
1,水_メガカメ_タンク_V5_メガピン刺し_サブ1,0.5800,Out: リーフ / In: ネモ (WR: 52.24% -> 58.00%)
1,雷_ピカライ_進化_V1_安定_サブ2枚,0.6600,Out: ピカチュウ / In: ハンドスコープ (WR: 29.80% -> 66.00%)
1,闘_ルカ_安定_V6_純正_サブ0枚,0.0000,unchanged
1,水_パルキア_高打点_V2_安定_サブ1ピン刺し,0.5800,Out: ハギギシリ / In: イノムー (WR: 33.88% -> 58.00%)
