gen,arch,wr,champ_change
1,メガライボルトex,0.7980,no
1,マグネゾーン＋メガマンエクトex,0.5522,yes
1,サンダースex単,0.5806,no
1,ピカチュウex＋ライチュウ,0.4426,yes
1,ラプラスex＋雷,0.4739,yes
1,メガリザードンX ex,0.6800,yes
1,メガリザードンY ex,0.7322,yes
1,メガブレイズiken ex,0.6922,yes
1,ウインディex＋炎,0.7174,yes
1,リザードンex＋カエンジシ,0.6548,yes
1,フリーザーex＋カスミ,0.7603,no
1,スイクンex＋ゲッコウガ,0.5400,yes
1,カメックスex,0.6878,yes
1,ギャラドスex,0.3490,no
1,ラプラスex単,0.4391,yes
1,パルキアex＋水,0.4243,yes
1,フシギバナex＋どく,0.5009,yes
1,メガフシギバナex,0.5504,yes
1,エーフィex＋草,0.6328,no
1,マスカーニャex＋草,0.6913,no
1,ストライクex＋草,0.6200,yes
1,ミュウツーex＋サーナイト,0.4583,yes
1,ゲンガーex＋ムゲンダイナ,0.6409,yes
1,フーパ＋超,0.3643,yes
1,メガガーデボワールex,0.5113,yes
1,ミュウex＋超,0.4130,yes
1,ソーナンス＋ミュウツー,0.3322,yes
1,サザンドラ＋メガアブソルex,0.3043,yes
1,ヒードランex＋悪,0.4635,yes
1,ムゲンダイナex＋悪,0.2241,no
1,ブラッキーex＋悪,0.6235,yes
1,イーブイ＋悪進化,0.5800,yes
1,ガラガラ＋化石,0.6614,no
1,メガルカリオex,0.6664,no
1,テラキオンex＋闘,0.6313,yes
1,メガロペッコex,0.5209,yes
1,ルカリオex＋闘,0.5617,yes
1,ハガネールex＋鋼壁,0.6304,yes
1,メガシザリガーex,0.6278,yes
1,コバルオンex＋鋼,0.6565,yes
1,メタグロスex＋鋼,0.7322,yes
1,メガアルタリアex,0.6884,no
1,ギラティナVSTAR,0.3861,yes
1,パルキアex＋ドラゴン,0.5757,yes
1,オノノクス＋ドラゴン,0.7139,yes
1,カビゴン＋無色,0.7093,no
1,ケンタロスex＋無色,0.5939,yes
1,ミュウツーex＋ゲッコウガ,0.5852,yes
1,メガリザードンex＋マフォクシー,0.5078,yes
1,スイクンex＋カスミ,0.3557,yes
1,ゲッコウガ＋ブラッキーex,0.6652,yes
1,フシギバナex＋ミュウex,0.6174,yes
1,サザンドラ＋ギラティナ,0.5226,yes
1,カメックスex＋カスミ,0.6113,yes
