gen,arch,wr,champ_change
1,メガライボルトex,0.4619,no
1,ミュウツーex＋サーナイト,0.3857,yes
1,フリーザーex＋カスミ,0.3571,yes
1,ガラガラ＋化石,0.5857,yes
1,フシギバナex＋どく,0.5857,yes
1,サザンドラ＋メガアブソル,0.6571,yes
1,メガリザードンex,0.8714,yes
1,ハガネールex＋鋼壁,0.7000,yes
2,メガライボルトex,0.4857,yes
2,ミュウツーex＋サーナイト,0.6571,yes
2,フリーザーex＋カスミ,0.4143,yes
2,ガラガラ＋化石,0.4952,no
2,フシギバナex＋どく,0.6143,yes
2,サザンドラ＋メガアブソル,0.5286,yes
2,メガリザードンex,0.8714,yes
2,ハガネールex＋鋼壁,0.7429,yes
3,メガライボルトex,0.3762,no
3,ミュウツーex＋サーナイト,0.6476,no
3,フリーザーex＋カスミ,0.4286,yes
3,ガラガラ＋化石,0.5000,yes
3,フシギバナex＋どく,0.7000,yes
3,サザンドラ＋メガアブソル,0.6714,yes
3,メガリザードンex,0.8429,yes
3,ハガネールex＋鋼壁,0.7000,yes
4,メガライボルトex,0.3714,yes
4,ミュウツーex＋サーナイト,0.6000,no
4,フリーザーex＋カスミ,0.3857,yes
4,ガラガラ＋化石,0.5571,yes
4,フシギバナex＋どく,0.7429,yes
4,サザンドラ＋メガアブソル,0.5857,yes
4,メガリザードンex,0.8143,yes
4,ハガネールex＋鋼壁,0.6000,yes
5,メガライボルトex,0.3571,no
5,ミュウツーex＋サーナイト,0.6714,yes
5,フリーザーex＋カスミ,0.4429,yes
5,ガラガラ＋化石,0.5000,yes
5,フシギバナex＋どく,0.6286,yes
5,サザンドラ＋メガアブソル,0.6000,yes
5,メガリザードンex,0.8000,yes
5,ハガネールex＋鋼壁,0.7000,yes
6,メガライボルトex,0.3571,yes
6,ミュウツーex＋サーナイト,0.7000,yes
6,フリーザーex＋カスミ,0.3429,yes
6,ガラガラ＋化石,0.5190,no
6,フシギバナex＋どく,0.7286,yes
6,サザンドラ＋メガアブソル,0.5000,yes
6,メガリザードンex,0.8000,yes
6,ハガネールex＋鋼壁,0.6857,yes
7,メガライボルトex,0.3714,yes
7,ミュウツーex＋サーナイト,0.7000,no
7,フリーザーex＋カスミ,0.3571,yes
7,ガラガラ＋化石,0.6714,yes
7,フシギバナex＋どく,0.7143,yes
7,サザンドラ＋メガアブソル,0.4857,yes
7,メガリザードンex,0.7857,yes
