gen,arch,wr,champ_change
1,雷スピード,0.4286,no
1,ミュウツー超コントロール,0.7857,yes
1,水テンポ,0.5524,no
1,闘パワー,0.3857,yes
1,草毒コントロール,0.8857,yes
1,悪スナイプ,0.6714,yes
1,炎高火力,0.7143,yes
1,鋼タフネス,0.5857,yes
2,雷スピード,0.5286,yes
2,ミュウツー超コントロール,0.7571,yes
2,水テンポ,0.5714,yes
2,闘パワー,0.4571,yes
2,草毒コントロール,0.7238,no
2,悪スナイプ,0.5857,yes
2,炎高火力,0.3857,yes
2,鋼タフネス,0.4190,no
3,雷スピード,0.5190,no
3,ミュウツー超コントロール,0.6952,no
3,水テンポ,0.5524,no
3,闘パワー,0.5714,yes
3,草毒コントロール,0.8714,yes
3,悪スナイプ,0.5190,no
3,炎高火力,0.5429,yes
3,鋼タフネス,0.4571,yes
4,雷スピード,0.4619,no
4,ミュウツー超コントロール,0.7143,yes
4,水テンポ,0.5286,no
4,闘パワー,0.5143,yes
4,草毒コントロール,0.8286,yes
4,悪スナイプ,0.7000,yes
4,炎高火力,0.5143,yes
4,鋼タフネス,0.5714,yes
5,雷スピード,0.4571,no
5,ミュウツー超コントロール,0.7476,no
5,水テンポ,0.5857,yes
5,闘パワー,0.5048,no
5,草毒コントロール,0.7571,yes
5,悪スナイプ,0.5571,yes
5,炎高火力,0.3000,yes
5,鋼タフネス,0.5857,yes
6,雷スピード,0.5571,yes
6,ミュウツー超コントロール,0.7619,no
6,水テンポ,0.4286,yes
6,闘パワー,0.5143,yes
6,草毒コントロール,0.7048,no
6,悪スナイプ,0.6571,yes
6,炎高火力,0.2714,yes
6,鋼タフネス,0.6143,yes
7,雷スピード,0.4667,no
7,ミュウツー超コントロール,0.7857,yes
7,水テンポ,0.5286,yes
7,闘パワー,0.5286,no
7,草毒コントロール,0.7714,yes
7,悪スナイプ,0.6143,yes
7,炎高火力,0.3714,yes
7,鋼タフネス,0.5286,yes
8,雷スピード,0.5286,yes
8,ミュウツー超コントロール,0.7571,yes
8,水テンポ,0.5143,yes
8,闘パワー,0.5429,yes
8,草毒コントロール,0.8571,yes
8,悪スナイプ,0.5714,yes
8,炎高火力,0.3286,yes
8,鋼タフネス,0.5286,yes
9,雷スピード,0.5190,no
9,ミュウツー超コントロール,0.7429,yes
9,水テンポ,0.5571,yes
9,闘パワー,0.5714,yes
9,草毒コントロール,0.8286,yes
9,悪スナイプ,0.6429,yes
9,炎高火力,0.3143,yes
9,鋼タフネス,0.5286,yes
10,雷スピード,0.4905,no
10,ミュウツー超コントロール,0.7524,no
10,水テンポ,0.5619,no
10,闘パワー,0.6000,yes
10,草毒コントロール,0.8429,yes
10,悪スナイプ,0.6143,yes
10,炎高火力,0.5000,yes
10,鋼タフネス,0.4286,yes
11,雷スピード,0.5048,no
11,ミュウツー超コントロール,0.7524,no
11,水テンポ,0.5429,yes
11,闘パワー,0.4905,no
11,草毒コントロール,0.7429,yes
11,悪スナイプ,0.8000,yes
11,炎高火力,0.4714,yes
11,鋼タフネス,0.4286,yes
12,雷スピード,0.5429,yes
12,ミュウツー超コントロール,0.7857,yes
12,水テンポ,0.4905,no
12,闘パワー,0.6429,yes
12,草毒コントロール,0.7857,yes
12,悪スナイプ,0.6143,yes
12,炎高火力,0.5286,yes
12,鋼タフネス,0.3857,yes
13,雷スピード,0.5714,yes
13,ミュウツー超コントロール,0.8000,yes
13,水テンポ,0.5429,no
13,闘パワー,0.5714,yes
13,草毒コントロール,0.7143,yes
13,悪スナイプ,0.6000,yes
13,炎高火力,0.6286,yes
13,鋼タフネス,0.3143,yes
14,雷スピード,0.5571,yes
14,ミュウツー超コントロール,0.7429,yes
14,水テンポ,0.5000,yes
14,闘パワー,0.6000,no
14,草毒コントロール,0.6714,yes
14,悪スナイプ,0.7286,yes
14,炎高火力,0.5714,yes
14,鋼タフネス,0.4143,yes
15,雷スピード,0.6000,yes
