gen,arch,wr,mutation
1,超_メガゲン_全体_V4_グッズ偏重_ピンサブ,0.5939,Out: ゲンガーex / In: メリッサ (Parent: 28/50 -> Mutant: 30/50)
1,雷_サンダース_加速_V2_安定_サブ1ピン刺し,0.4990,unchanged
1,炎_ホウオウ_循環_V1_安定_サブ2枚,0.7500,unchanged
1,龍_ウルネク_全体_V2_安定_サブ1ピン刺し,0.5786,unchanged
1,超_ミュウ_完封_V2_安定_サブ1ピン刺し,0.6378,unchanged
1,水_パルキア_高打点_V4_グッズ偏重_ピンサブ,0.6071,Out: ウッウ / In: アリゲイツ (Parent: 40/50 -> Mutant: 46/50)
1,超_ミュウ_完封_V4_グッズ偏重_ピンサブ,0.6990,unchanged
1,闘_ルカガブ_2ex_V4_グッズ偏重_ピンサブ,0.3102,unchanged
1,闘_ルカガブ_2ex_V1_安定_サブ2枚,0.4908,unchanged
1,草_フシギバ_どく_V2_安定_サブ1ピン刺し,0.5857,Out: マユルド / In: アイリス (Parent: 26/50 -> Mutant: 30/50)
1,炎_メガバシャ_再利用_V1_安定_サブ2枚,0.6939,Out: グレンアルマex / In: ふたの化石 (Parent: 38/50 -> Mutant: 40/50)
1,雷_ピカライ_進化_V4_グッズ偏重_ピンサブ,0.6204,unchanged
1,超_ルナアーラ_回復_V2_安定_サブ1ピン刺し,0.1439,unchanged
1,超_ミュウ_完封_V1_安定_サブ2枚,0.7245,unchanged
1,超_メガゲン_全体_V3_グッズ偏重_サブ2,0.8378,Out: アカギ / In: ゼニガメじょうろ (Parent: 38/50 -> Mutant: 45/50)
1,炎_メガバシャ_再利用_V4_グッズ偏重_ピンサブ,0.6908,unchanged
1,鋼_ディアルガ_ロマン_V2_安定_サブ1ピン刺し,0.5643,Out: ナットレイ / In: ホエルコ (Parent: 27/50 -> Mutant: 30/50)
1,悪_サザンアブ_狙撃_V6_純正_サブ0枚,0.4755,unchanged
1,龍_ウルネク_全体_V1_安定_サブ2枚,0.5714,unchanged
1,雷_ライコウ_2ex_V5_メガピン刺し_サブ1,0.6388,unchanged
1,闘_ドンフ_耐久_V4_グッズ偏重_ピンサブ,0.1276,unchanged
1,龍_カイリュ_狙撃_V4_グッズ偏重_ピンサブ,0.4786,unchanged
1,悪_サザンアブ_狙撃_V4_グッズ偏重_ピンサブ,0.5796,unchanged
1,炎_ホウオウ_循環_V4_グッズ偏重_ピンサブ,0.5276,Out: マグマッグ / In: ロコン (Parent: 31/50 -> Mutant: 33/50)
1,炎_メガリザY_安定_V1_安定_サブ2枚,0.5786,Out: バオッキー / In: ギャロップex (Parent: 35/50 -> Mutant: 37/50)
1,炎_グレンアルマ_加速_V3_グッズ偏重_サブ2,0.3000,unchanged
1,悪_ブラッキ_強制_V2_安定_サブ1ピン刺し,0.1663,Out: ドラミドロ / In: レッド (Parent: 11/50 -> Mutant: 15/50)
1,水_フリスイ_後攻_V2_安定_サブ1ピン刺し,0.5745,unchanged
1,鋼_ソルガレオ_コンボ_V6_純正_サブ0枚,0.1041,Out: ポットデス / In: ポケモン図鑑 (Parent: 8/50 -> Mutant: 12/50)
1,超_ミュウツ_サナ_V4_グッズ偏重_ピンサブ,0.5541,Out: ふしぎなアメ / In: トゲチック (Parent: 34/50 -> Mutant: 36/50)
1,龍_ウルネク_全体_V4_グッズ偏重_ピンサブ,0.4500,Out: 博士の研究 / In: スイレン (Parent: 28/50 -> Mutant: 34/50)
1,超_ミュウツ_サナ_V2_安定_サブ1ピン刺し,0.6745,unchanged
1,水_スイゲツ_環境_V4_グッズ偏重_ピンサブ,0.6459,unchanged
1,龍_カイリュ_狙撃_V3_グッズ偏重_サブ2,0.4286,unchanged
1,雷_ライコウ_2ex_V2_安定_サブ1ピン刺し,0.6245,unchanged
1,炎_ホウオウ_循環_V3_グッズ偏重_サブ2,0.4224,unchanged
1,雷_メガライボ_速攻_V5_メガピン刺し_サブ1,0.4347,Out: カプコケコex / In: どくバリ (Parent: 23/50 -> Mutant: 30/50)
1,超_ミュウツ_サナ_V1_安定_サブ2枚,0.7429,Out: ミュウツーex / In: エーフィex (Parent: 44/50 -> Mutant: 48/50)
1,鋼_ディアルガ_ロマン_V1_安定_サブ2枚,0.5184,unchanged
1,水_パオジ_速攻_V1_安定_サブ2枚,0.5020,unchanged
1,闘_マッシ_詰め_V6_純正_サブ0枚,0.2969,unchanged
1,炎_グレンアルマ_加速_V6_純正_サブ0枚,0.2673,unchanged
1,草_マスカ_妨害_V4_グッズ偏重_ピンサブ,0.1020,Out: はねの化石 / In: リーフィア (Parent: 11/50 -> Mutant: 13/50)
1,炎_エンテイ_ドロー_V3_グッズ偏重_サブ2,0.5949,unchanged
1,炎_メガバシャ_再利用_V6_純正_サブ0枚,0.4459,unchanged
1,超_ルナアーラ_回復_V1_安定_サブ2枚,0.2459,unchanged
1,龍_レック_最強_V6_純正_サブ0枚,0.2837,unchanged
1,鋼_メガハガ_耐久_V3_グッズ偏重_サブ2,0.7398,unchanged
1,草_フシギバ_どく_V6_純正_サブ0枚,0.4490,unchanged
1,悪_ダーク_全体_V1_安定_サブ2枚,0.4265,Out: いじわるレター / In: ドラピオン (Parent: 31/50 -> Mutant: 33/50)
2,水_メガカメ_タンク_V2_安定_サブ1ピン刺し,0.6939,unchanged
2,悪_ブラッキ_強制_V6_純正_サブ0枚,0.2092,Out: ブラッキーex / In: メタルコアバリア (Parent: 9/50 -> Mutant: 11/50)
2,雷_メガライボ_速攻_V4_グッズ偏重_ピンサブ,0.6602,unchanged
2,龍_カイリュ_狙撃_V2_安定_サブ1ピン刺し,0.4959,unchanged
2,炎_エンテイ_ドロー_V3_グッズ偏重_サブ2,0.6878,unchanged
2,超_ミュウツ_サナ_V1_安定_サブ2枚,0.7842,unchanged
2,無色_メガピジョ_速攻_V2_安定_サブ1ピン刺し,0.7143,unchanged
2,雷_サンダース_加速_V1_安定_サブ2枚,0.6949,unchanged
2,闘_マッシ_詰め_V6_純正_サブ0枚,0.3770,unchanged
2,鋼_サーフゴ_バフ_V2_安定_サブ1ピン刺し,0.1612,unchanged
2,炎_メガリザX_高火力_V5_メガピン刺し_サブ1,0.6245,unchanged
2,闘_マッシ_詰め_V3_グッズ偏重_サブ2,0.4888,unchanged
2,炎_グレンアルマ_加速_V2_安定_サブ1ピン刺し,0.1429,unchanged
2,鋼_ソルガレオ_コンボ_V4_グッズ偏重_ピンサブ,0.2969,unchanged
