2573,ストライク,Pokemon,Grass,70,0,,,,とんぼがえり,10,,Colorless:1
2584,クヌギダマ,Pokemon,Grass,60,0,,,,ぶらさがる,10,,Colorless:1
2585,バルビート,Pokemon,Grass,80,0,,,,あやしいひかり,10,,Grass:1
2586,イルミーゼ,Pokemon,Grass,80,0,,,,メンタルクラッシュ,20,,Grass:1
2587,ボクレー,Pokemon,Grass,70,0,,,,たいあたり,10,,Colorless:1
2588,オーロット,Pokemon,Grass,120,1,ボクレー,,,ランブルストンプ,40,,Grass:1,Colorless:1
2589,ヒトカゲ,Pokemon,Fire,70,0,,,,ほのおのしっぽ,30,,Fire:1,Colorless:1
2590,リザード,Pokemon,Fire,80,1,ヒトカゲ,,,きりさく,40,,Fire:2
2564,メガリザードンXex,Pokemon,Fire,220,2,リザード,,,レイジングブレイズ,100,,Fire:3
2591,ポニータ,Pokemon,Fire,60,0,,,,こがす,0,,Fire:1
2592,ギャロップ,Pokemon,Fire,100,1,ポニータ,,,オーバースマッシュ,30,,Fire:1
2593,ブーバー,Pokemon,Fire,80,0,,,,しっぽではたく,30,,Colorless:2
2594,ブーバーン,Pokemon,Fire,130,1,ブーバー,,,らいめいボルケーノ,70,,Fire:1,Colorless:2
2595,パルデアケンタロス,Pokemon,Fire,100,0,,,,とっしん,60,,Fire:2
2571,ヤドン,Pokemon,Water,70,0,,,,ずつき,30,,Water:1,Colorless:1
2596,メガヤドランex,Pokemon,Water,200,1,ヤドン,,,ランドリーゴーランド,90,bench_proportional_20,Water:2,Colorless:1
2597,ラプラス,Pokemon,Water,100,0,,,,レイジングフリーズ,60,,Water:2,Colorless:1
2598,ポッチャマ,Pokemon,Water,60,0,,,,みずてっぽう,20,,Water:1
2599,ポッタイシ,Pokemon,Water,80,1,ポッチャマ,,,みずしぶき,30,,Water:1,Colorless:1
2600,エンペルト,Pokemon,Water,130,2,ポッタイシ,,,こうていのいちげき,80,,Water:2,Colorless:1
2570,フィオネ,Pokemon,Water,70,0,,,,アクアターボ,10,,Water:1
2601,ピカチュウ,Pokemon,Lightning,70,0,,,,バチバチ,10,,Lightning:1
2602,ライチュウ,Pokemon,Lightning,100,1,ピカチュウ,,,かみなり,90,,Lightning:2
2603,エレブー,Pokemon,Lightning,70,0,,,,ヘッドボルト,30,,Lightning:1
2604,エレキブル,Pokemon,Lightning,130,1,エレブー,,,ばくれつサンダー,50,,Lightning:1,Colorless:1
2605,ラクライ,Pokemon,Lightning,60,0,,,,でんこうせっか,10,,Lightning:1
2606,メガライボルトex,Pokemon,Lightning,180,1,ラクライ,,,イナズマアクセル,80,point_proportional_30,Lightning:2
2607,スリープ,Pokemon,Psychic,60,0,,,,さいみんじゅつ,0,,Colorless:1
2608,スリーパー,Pokemon,Psychic,100,1,スリープ,,,さいみんはどう,60,,Psychic:1,Colorless:2
2609,ミュウ,Pokemon,Psychic,50,0,,,,ミラクルメモリー,0,,Psychic:1,Colorless:1
2610,バネブー,Pokemon,Psychic,60,0,,,,サイコショット,20,,Psychic:1
2611,ブーピッグ,Pokemon,Psychic,110,1,バネブー,,,ゆさぶるダンス,40,,Psychic:1
